ISIN;Название;Эффективная доходность (YTM), %;Кредитное качество (рэнкинг);Кредитное качество (число, max=10);Коэф. Ликвидности (max=100);Лет до даты;Цена, % от номинала;Событие в дату;Текущий номинал;НКД;Размер купона;Текущий купон, %;Купон (раз/год);Тип купона;Тип эмитента;Текущая цена + НКД;чистая прибыль;ROI (всего)
RU000A10C6P6;АФБАНК1Р15;16,9; A;8;56,6;2,7;102,18;погашение;1000;1,38;13,77;16,75;12;фиксированный;корпоративные;1023,18;417,46;0,408002502
RU000A108LN7;СмартФ1Р03;30,3; B;3;36,3;1,6;93,03;погашение;1000;15,72;17,47;21,25;12;плавающий;корпоративные;946,02;385,91;0,407930065
RU000A109UE5; РАТ 001-01;25,5; B;3;21,1;1,9;100,06;погашение;1000;5,04;18,9;23;12;фиксированный;корпоративные;1005,64;410,16;0,407859671
RU000A10B0J3;ДелЛиз1Р2;19,1; BBB;7;50,9;2,3;107,35;погашение;1000;15,78;19,73;24;12;фиксированный;корпоративные;1089,28;443,43;0,407085414
RU000A107E99; СовкомЗО-4;9,6; A;8;25,6;4,5;104,02;погашение;1000;5,52;52,32;10,46;2;фиксированный;корпоративные;1045,72;425,16;0,406571549
RU000A10D3S6;Селигдар6Р;19,6; BBB;7;57,2;2,4;100,85;погашение;1000;5,58;15,21;18,5;12;фиксированный;корпоративные;1014,08;411,8;0,40608236
RU000A1008P1;Роснфт2P6;12,8; AA;9;28,7;3,4;91,18;погашение;1000;7,4;22,44;9;4;фиксированный;корпоративные;919,2;372,52;0,405265448
RU000A107DB1;СберИОС598;0; AA;9;21,3;3,3;71,2;погашение;1000;0,01;0,01;0,01;11;фиксированный;корпоративные;712,01;288,35;0,404980267
RU000A106YE3;МгдОбл2023;16,6; BB-;5;41,6;2,9;96,81;погашение;1000;12,05;34,28;13,75;4;фиксированный;субфедеральные/муниципальные;980,15;396,93;0,404968627
RU000A108Q29; АЛЬФАЗО850;9,1; AA;9;40;4,5;98;погашение;1000;2,58;42,25;8,45;2;фиксированный;корпоративные;982,58;397,67;0,404720226
RU000A0ZZCH9;ИА ДОМ 5P2;0; AA;9;16,5;17,5;85,11;погашение;141,04;2,78;2,84;8;4;фиксированный;корпоративные;853,88;344,92;0,403944348
RU000A10D2N9; СибСтекБ03;27,1; B;3;32,9;1,8;100,03;право продать (put);1000;10,63;19,93;24,25;12;фиксированный;корпоративные;1010,93;407,6;0,403193099
RU000A108KK5;СОБИЛИЗ1Р5;27,2; B;3;28,4;2,5;94,59;погашение;692;1,46;10,95;19,25;12;фиксированный;корпоративные;947,36;381,14;0,402318021
RU000A10AZN8;Органик1Р1;21,6; B;3;38,1;2,3;118,03;погашение;1000;0;24,25;29,5;12;фиксированный;корпоративные;1180,3;474,45;0,401974074
RU000A0ZZTL5;ФПК 1P-05;17,8; AA;9;21,4;3;98,99;погашение;1000;77,72;82,72;7,68;2;плавающий;корпоративные;1067,62;428,7;0,401547367
RU000A10BFX7;СамолетP16;18,9; BBB;7;59,1;2,5;115,87;погашение;1000;4,89;20,96;25,5;12;фиксированный;корпоративные;1163,59;465,21;0,399805774
RU000A108DE3;ГТЛК 1P-21;22,1; BBB;7;47,4;2;97,89;право продать (put);1000;52,19;55,22;23,15;4;плавающий;корпоративные;1031,09;410,67;0,398287249
RU000A10CP78;ПСБ 4P-01;15,5; AA;9;56,1;2,9;99,37;погашение;1000;6,64;11,71;14,25;12;фиксированный;корпоративные;1000,34;397,8;0,397664794
RU000A106QL4;СберИОС580;0; AA;9;19,9;2,9;71,61;погашение;1000;0;0,01;0,01;11;фиксированный;корпоративные;716,1;284,21;0,39688591
RU000A10CC24;РусГид2Р07;15,8; AA;9;52,5;2,8;97,9;погашение;1000;6,07;11,38;13,85;12;фиксированный;корпоративные;985,07;390,47;0,396388074
RU000A10AEF9;ТГК-14 1Р3;18,6; BB-;5;40,2;2,6;119,37;погашение;1000;7,99;21,78;26,5;12;фиксированный;корпоративные;1201,69;473,49;0,394020088
RU000A107QL2;АЛЬЯНС 1P3;39,3; B;3;38,6;1,2;87,41;погашение;1000;16,68;17,26;22;12;плавающий;корпоративные;890,78;350,86;0,393879521
RU000A108RK0;РКС2Р4;29,6; B+;4;43,7;1,6;91,19;погашение;1000;20,27;49,86;20;4;фиксированный;корпоративные;932,17;366,99;0,393694283
RU000A107SR5;СберИОС605;0; AA;9;17,6;3,4;71,8;погашение;1000;0;0,01;0,01;11;фиксированный;корпоративные;718;282,37;0,393272981
RU000A106037;РусГидБП10;19,9; AA;9;35,5;2,4;99,54;погашение;1000;17,05;45,62;17,3;4;плавающий;корпоративные;1012,45;398,13;0,393234234
RU000A107C00;ИСТРСЫР 03;22; CCC;2;26,2;2,1;97,04;погашение;1000;12,82;14,79;18;12;плавающий;корпоративные;983,22;386,53;0,393126665
RU000A101RW0;Казахст08;16,4; n/a;;29,3;2,6;82,99;погашение;1000;26,34;38,34;7,69;2;фиксированный;государственные;856,24;335,46;0,391782678
RU000A108GM9;АЛЬЯНС 1P5;28,2; B;3;29,4;1,5;89,42;погашение;1000;5,12;13,97;17;12;изменяемый;корпоративные;899,32;352,14;0,391562514
